idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
4497X,-7.158056,2026-04-10T04:00:00+0000,0.0,247.0,3.9,1.5,120.0,38.372219,125.0,VILLANUEVA DEL FRESNO,84.0,12.5,12.5,12.7,,,,,,,,,,,,,,,,,,,,,,,,
4499X,-6.271862,2026-04-10T04:00:00+0000,0.0,771.0,3.6,1.9,265.0,38.081296,245.0,MONESTERIO (AUTOMATICA),83.0,11.2,11.2,11.4,,,,,,,,,,,,,,,,,,,,,,,,
4501X,-6.311317,2026-04-10T04:00:00+0000,0.0,602.0,3.2,1.8,201.0,38.20874,235.0,FUENTE DE CANTOS,83.0,11.1,11.1,11.5,,,,,,,,,,,,,,,,,,,,,,,,
4511C,-6.765058,2026-04-10T04:00:00+0000,0.0,381.0,3.2,1.2,224.0,38.298514,86.0,JEREZ DE LOS CABALLEROS,91.0,10.9,10.9,12.3,968.8,0.3,11.0,1013.8,9.4,20.0,23.0,0.0,17.2,,,,,,0.0,,,,,,,,,
4520X,-6.661793,2026-04-10T04:00:00+0000,0.0,586.0,1.7,0.5,179.0,38.178438,167.0,FREGENAL DE LA SIERRA,95.0,9.0,9.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,
4527X,-6.975941,2026-04-10T04:00:00+0000,0.0,267.0,1.2,0.8,137.0,37.980282,170.0,AROCHE (MASERA - AUTOMATICA),96.0,8.9,8.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,
4541X,-7.51994,2026-04-10T04:00:00+0000,0.0,60.0,,,,37.553656,,EL GRANADO (BOCACHANZA - AUTOMÁTICA),92.0,12.1,12.1,12.3,,,,,,,,,,,,,,,,,,,,,,,,
4549Y,-7.394971,2026-04-10T04:00:00+0000,0.0,2.63,2.1,0.7,331.0,37.194607,323.0,AYAMONTE  ISLA CANELA,90.0,12.6,12.6,13.8,1013.1,,,1013.6,11.0,,,,,,,14.0,,,,,,,,,,,,
4554X,-7.08361,2026-04-10T04:00:00+0000,0.0,15.0,1.7,0.9,45.0,37.218334,52.0,CARTAYA   PEMARES ,96.0,10.6,10.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,
4560Y,-6.674999,2026-04-10T04:00:00+0000,0.0,572.0,4.2,1.6,328.0,37.868615,324.0,ALAJAR  CABEZO MOLINOS,74.0,12.4,13.3,13.4,946.5,0.8,13.4,,,,27.0,0.0,16.6,,,,,,,,,,,,,,,
4575X,-6.767767,2026-04-10T04:00:00+0000,0.0,280.4,,,,37.575348,,VALVERDE CAMINO (CH.GUADIANA AUTOMATICA),70.0,14.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
4584X,-6.942237,2026-04-10T04:00:00+0000,0.0,270.0,,,,37.731577,,EL CERRO DE ANDEVALO,74.0,13.6,13.6,13.9,,,,,,,,,,,,,,,,,,,,,,,,
4589X,-7.11944,2026-04-10T04:00:00+0000,0.0,276.0,1.7,0.7,158.0,37.597782,155.0,ALOSNO  THARSIS-MINAS ,84.0,13.0,13.0,13.5,,,,,,,,,,,,,,,,,,,,,,,,
4608X,-6.630003,2026-04-10T04:00:00+0000,0.0,415.0,2.2,0.8,21.0,37.677226,357.0,EL CAMPILLO  EL ZUMAJO ,81.0,12.6,12.6,12.7,,,,,,,,,,,,,,,,,,,,,,,,
4622X,-6.636671,2026-04-10T04:00:00+0000,0.0,145.0,3.2,0.8,201.0,37.450835,217.0,VILLARRASA  PLANTA DE RECICLAJE,86.0,11.8,11.8,12.9,,,,,,,,,,,,,,,,,,,,,,,,
4642E,-6.911696,2026-04-10T04:00:00+0000,0.0,17.59,3.6,0.9,228.0,37.278412,315.0,HUELVA  RONDA ESTE,86.0,13.0,13.3,13.6,1010.8,0.4,12.2,1013.1,11.0,14.9,106.0,0.0,17.5,,,,,,0.0,,,,,19.2,,,,
5000C,-5.346967,2026-04-10T04:00:00+0000,0.0,87.0,2.8,1.9,250.0,35.888727,258.0,CEUTA,88.0,13.4,13.4,13.8,1001.9,0.3,11.4,1012.5,11.4,10.9,11.0,0.0,16.5,,,,,,0.0,,,,,17.5,,,,
5038Y,-3.003891,2026-04-10T04:00:00+0000,0.0,799.0,,,,37.915837,,CAZORLA (AUTOMATICA),26.0,20.0,20.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,
5047E,-2.734995,2026-04-10T04:00:00+0000,0.0,785.0,10.0,1.9,188.0,37.505829,109.0,BAZA  CRUZ ROJA,29.0,14.6,16.8,17.0,926.6,0.6,13.0,,-1.4,16.2,42.0,0.0,13.5,,,,,,0.0,,,,,,799.7,,,
5051X,-2.652778,2026-04-10T04:00:00+0000,0.0,1100.5,4.1,1.4,354.0,37.861389,352.0,HUÉSCAR,25.0,14.3,14.8,15.0,894.3,0.6,15.7,,,20.0,23.0,0.0,11.7,,,,,,0.0,,,,,,,,,
5060X,-2.228056,2026-04-10T04:00:00+0000,0.0,1190.0,,,,37.860832,,TOPARES,42.0,10.2,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,
5103E,-3.256944,2026-04-10T04:00:00+0000,,2151.69,10.8,3.9,86.0,37.158333,95.0,CAMARATE 2  PARQUE NACIONAL SIERRA NEVADA,52.0,8.6,9.0,9.5,787.1,1.6,,,,,21.0,,,,,,,,,,,,,,,,,
5103F,-3.254022,2026-04-10T04:00:00+0000,,1534.04,4.6,2.4,245.0,37.191027,239.0,CAMARATE  PARQUE NACIONAL SIERRA NEVADA,53.0,10.1,11.1,11.8,847.4,0.7,,1015.2,1.9,,22.0,,,,,,,,,,,,,,,,,
5107D,-2.986406,2026-04-10T04:00:00+0000,0.0,1197.0,12.6,8.0,103.0,37.179936,115.0,DÓLAR,35.0,15.9,17.1,17.1,,,,,,,,,,,,,,,,,,,,,,,,
5112X,-3.129722,2026-04-10T04:00:00+0000,0.0,916.5,8.4,1.5,142.0,37.311944,110.0,GUADIX,40.0,14.8,14.8,16.6,,,,,,,,,,,,,,,,,,,,,,,,
5164B,-3.461951,2026-04-10T04:00:00+0000,0.0,771.0,9.7,4.1,119.0,37.996668,115.0,BAEZA,29.0,17.2,17.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5165X,-3.563581,2026-04-10T04:00:00+0000,0.0,910.0,,,,37.780842,,TORRES,28.0,20.2,20.5,20.5,,,,,,,,,,,,,,,,,,,,,,,,
5181D,-2.889764,2026-04-10T04:00:00+0000,0.0,580.0,,,,38.314753,,ARROYO DEL OJANCO,31.0,19.0,20.7,22.1,,,,,,,,,,,,0.0,,,,,,,,,,,,
5192,-2.637568,2026-04-10T04:00:00+0000,0.0,862.0,14.7,8.2,104.0,38.489252,97.0,VILLARRODRIGO,15.0,19.3,19.6,19.7,918.1,1.9,19.2,,-7.8,20.0,10.0,0.0,17.6,,,,,,0.0,,,,,,797.7,,,
5210X,-2.998059,2026-04-10T04:00:00+0000,0.0,680.0,5.4,1.6,96.0,38.175001,50.0,VILLANUEVA DEL ARZOBISPO,27.0,19.6,19.7,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5270B,-3.809167,2026-04-10T04:00:00+0000,0.0,580.0,15.4,8.4,142.0,37.7775,100.0,JAÉN,22.0,21.3,21.8,21.8,947.0,1.9,21.2,1012.4,-1.0,20.0,14.0,0.0,16.5,,,,,,0.0,,,,,16.5,,,,
5279X,-3.629453,2026-04-10T04:00:00+0000,0.0,515.0,4.5,2.3,130.0,38.151107,122.0,LINARES (VOR - AUTOMATICA),36.0,17.2,17.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,
5281X,-3.782624,2026-04-10T04:00:00+0000,0.0,345.0,7.1,3.4,58.0,38.092984,75.0,BAILÉN,38.0,17.5,17.5,18.3,,,,,,,,,,,,,,,,,,,,,,,,
5298X,-4.063333,2026-04-10T04:00:00+0000,0.0,202.0,3.0,1.0,323.0,38.023054,303.0,ANDÚJAR,96.0,12.2,12.7,13.6,990.0,0.2,,1014.0,12.1,,18.0,,,,,,,,,,,,,,,,,
5304Y,-4.059165,2026-04-10T04:00:00+0000,0.0,665.0,5.0,2.1,81.0,38.668889,85.0,PUERTOLLANO,35.0,16.8,16.8,17.3,,,,,,,,,,,,,,,,,,,,,,,,
5341C,-4.301663,2026-04-10T04:00:00+0000,0.0,710.0,3.2,0.8,296.0,38.428888,110.0,FUENCALIENTE,44.0,13.3,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
5346X,-4.272506,2026-04-10T04:00:00+0000,0.0,720.0,,,,38.186671,,CARDEÑA (SANTA ELENA - AUTOMATICA),39.0,15.3,15.5,15.6,,,,,,,,,,,,,,,,,,,,,,,,
5361X,-4.330275,2026-04-10T04:00:00+0000,0.0,155.0,1.5,0.7,146.0,38.01333,80.0,MONTORO VEGA ARMIJO,97.0,11.8,11.9,12.2,,,,,,,,,,,,,,,,,,,,,,,,
5394X,-4.796664,2026-04-10T04:00:00+0000,0.0,525.0,1.8,0.9,62.0,38.020835,47.0,CORDOBA  EMBALSE DE GUADANUÑO,97.0,9.8,9.9,10.4,,,,,,,,,,,,,,,,,,,,,,,,
5402,-4.846558,2026-04-10T04:00:00+0000,0.0,90.0,2.1,1.0,40.0,37.848891,180.0,CÓRDOBA/AEROPUERTO,96.0,10.1,10.7,11.1,1002.6,0.0,11.3,1013.7,10.0,,12.0,0.0,,,,,,,,,,,,,,,,
5406X,-3.908059,2026-04-10T04:00:00+0000,0.0,908.0,11.8,3.3,121.0,37.497489,95.0,CHARILLA,34.0,18.6,18.8,19.1,,,,,,,,,,,,,,,,,,,,,,,,
5412X,-4.207785,2026-04-10T04:00:00+0000,0.0,550.0,6.0,2.8,61.0,37.484728,105.0,PRIEGO DE CÓRDOBA  SAN FELIX,95.0,11.6,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
5427X,-4.353893,2026-04-10T04:00:00+0000,0.0,650.0,,,,37.556113,,DOÑA MENCIA,99.0,12.2,12.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,
5429X,-4.462227,2026-04-10T04:00:00+0000,0.0,275.0,2.8,1.0,80.0,37.810392,192.0,CÓRDOBA  PRAGDENA,97.0,11.9,12.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,
5459X,-4.928728,2026-04-10T04:00:00+0000,0.0,465.0,1.7,0.7,11.0,38.111111,347.0,ESPIEL-C.TÉRMICA,94.0,10.3,10.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,
5470,-5.100552,2026-04-10T04:00:00+0000,0.0,120.0,1.8,1.2,87.0,37.753056,92.0,FUENTE PALMERA-LOS ARROYONES,96.0,11.6,11.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,
5473X,-5.686015,2026-04-10T04:00:00+0000,0.0,581.0,2.4,0.6,149.0,38.267805,125.0,AZUAGA (AUTOMATICA),84.0,12.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
5514Z,-3.633331,2026-04-10T04:00:00+0000,0.0,695.0,5.6,3.0,225.0,37.136107,227.0,GRANADA/BASE AÉREA,56.0,0.7,15.0,15.0,934.5,1.4,13.4,1013.9,6.2,19.0,85.0,0.0,,,,,,,0.01,,,,,,,,,
5515X,-3.59555,2026-04-10T04:00:00+0000,0.0,775.0,4.1,0.7,218.0,37.18972,35.0,GRANADA-CARTUJA,45.0,17.7,17.7,19.8,,,,,,,,,,,,,,,,,,,,,,,,
5516D,-3.386944,2026-04-10T04:00:00+0000,,2856.0,17.0,2.7,217.0,37.063056,151.0,SIERRA NEVADA - RADIOTELESCOPIO,64.0,3.7,4.1,4.4,721.2,1.7,,,-2.2,,49.0,,,,,,,,,,,,,,,,,3098.1
5530E,-3.789774,2026-04-10T04:00:00+0000,0.0,560.12,8.2,2.6,80.0,37.190293,140.0,GRANADA/AEROPUERTO,81.0,12.9,13.8,14.1,947.8,0.9,13.4,1013.6,10.6,13.0,119.0,0.0,,,,,,,,,,,,,,,,
5582A,-4.152781,2026-04-10T04:00:00+0000,0.0,760.0,4.2,2.1,300.0,37.161109,319.0,LOJA,91.0,12.3,12.7,12.7,,0.7,,,,,21.0,,,,,,,,,,,,,,,,,
5598X,-4.547788,2026-04-10T04:00:00+0000,0.0,465.0,2.5,1.4,57.0,37.230931,40.0,BENAMEJÍ-ALCACHOFARES ALTOS,89.0,12.5,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
5612B,-4.769994,2026-04-10T04:00:00+0000,0.0,410.0,2.3,1.3,188.0,37.194443,194.0,RODA DE ANDALUCÍA,94.0,9.8,10.0,10.4,965.1,0.3,10.5,1013.6,9.0,2.9,9.0,0.0,16.0,,,,,,0.0,,,,,,,,,
5612X,-4.82695,2026-04-10T04:00:00+0000,0.0,450.0,,,,37.270277,,LORA DE ESTEPA (AUTOMATICA),92.0,10.9,10.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,
5624X,-4.685919,2026-04-10T04:00:00+0000,0.0,309.0,2.8,1.9,117.0,37.481945,120.0,AGUILAR (LAGUNA ZOÑAR AUTOMATICA),94.0,11.0,11.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,
5625X,-4.763865,2026-04-10T04:00:00+0000,0.0,200.0,2.1,1.2,356.0,37.638525,342.0,LA RAMBLA   PRIVILEGIO,100.0,10.3,10.4,10.9,,,,,,,,,,,,,,,,,,,,,,,,
5654X,-5.37114,2026-04-10T04:00:00+0000,0.0,200.0,1.3,0.0,196.0,37.786804,122.0,LA PUEBLA DE LOS INFANTES,93.0,9.0,9.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,
5656,-5.433058,2026-04-10T04:00:00+0000,0.0,165.0,2.9,1.2,145.0,37.497222,165.0,FUENTES DE ANDALUCIA  EL TRAVIESO,89.0,13.1,13.1,13.3,,,,,,,,,,,,,,,,,,,,,,,,
5702X,-5.740475,2026-04-10T04:00:00+0000,0.0,50.0,2.5,1.7,59.0,37.565485,57.0,CARMONA  VILLEGAS,96.0,11.6,11.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,
5704B,-5.769728,2026-04-10T04:00:00+0000,0.0,550.0,2.1,0.9,109.0,37.926389,112.0,CAZALLA DE LA SIERRA,94.0,8.9,8.9,9.7,949.2,,,1013.9,8.0,,,,,,,39.0,,,,,,,,,,,,
5726X,-5.81917,2026-04-10T04:00:00+0000,0.0,720.0,5.5,2.3,39.0,38.099445,25.0,GUADALCANAL  CRISTO,87.0,12.2,12.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,
5733X,-6.074995,2026-04-10T04:00:00+0000,0.0,450.0,2.0,0.6,250.0,37.791114,272.0,ALMADEN PLATA (LAS NAVAS AUTOMATICA),89.0,11.5,11.5,11.8,,,,,,,,,,,,,,,,,,,,,,,,
5769X,-6.322225,2026-04-10T04:00:00+0000,0.0,618.0,4.2,1.3,295.0,37.973609,272.0,CALA,78.0,12.6,12.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,
5783,-5.879167,2026-04-10T04:00:00+0000,0.0,34.0,3.6,0.4,120.0,37.416667,140.0,SEVILLA/SAN PABLO,93.0,12.3,12.4,13.1,1009.6,0.5,14.4,1013.3,11.3,,122.0,0.0,,,,,,,,,,,,,,,,
5788X,-6.059722,2026-04-10T04:00:00+0000,0.0,84.0,3.8,1.0,242.0,37.361667,155.0,Tomares  Zaudín,95.0,12.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
5790Y,-6.005918,2026-04-10T04:00:00+0000,0.0,9.0,2.8,0.6,204.0,37.364249,200.0,TABLADA,93.0,12.5,12.5,12.8,,,,,,,,,,,,,,,,,,,,,,,,
5796,-5.611474,2026-04-10T04:00:00+0000,0.0,87.0,3.0,1.0,153.0,37.164529,158.0,MORÓN DE LA FRONTERA,90.0,11.4,11.5,12.3,,,,,9.9,,,,,,,48.0,,,,,,,,,,,,
5835X,-6.334168,2026-04-10T04:00:00+0000,0.0,76.0,2.2,0.7,131.0,37.360002,175.0,CARRION DE LOS CESPEDES,95.0,11.6,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,
5858X,-6.443024,2026-04-10T04:00:00+0000,0.0,5.0,1.7,0.2,302.0,36.988553,207.0,ALMONTE  DOÑANA ,98.0,10.9,11.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,
5860E,-6.738088,2026-04-10T04:00:00+0000,0.0,41.0,3.3,1.3,237.0,37.097942,217.0,EL ARENOSILLO,90.0,15.3,15.3,15.6,1008.3,,,1013.2,13.7,,,,,,,60.0,,,,,,,,,,,,
5891X,-5.846666,2026-04-10T04:00:00+0000,0.0,105.0,1.9,0.9,111.0,36.953337,97.0,LAS CABEZAS DE SAN JUAN (MAJOLETO AUTOMATICA),91.0,12.7,12.8,13.0,,,,,,,,,,,,,,,,,,,,,,,,
5906X,-6.400558,2026-04-10T04:00:00+0000,0.0,10.0,1.2,0.5,82.0,36.75,122.0,CHIPIONA  ECA,95.0,11.8,11.8,12.2,,,,,,,,,,,,,,,,,,,,,,,,
5910X,-6.332591,2026-04-10T04:00:00+0000,0.0,21.0,,,,36.638879,,ROTA BASE NAVAL,94.0,12.9,12.9,13.7,,,,,,,,,,,,,,,,,,,,,,,,
5911A,-5.37403,2026-04-10T04:00:00+0000,0.0,913.0,1.9,1.1,290.0,36.76044,301.0,GRAZALEMA,96.0,8.7,9.3,9.3,909.2,,,,8.7,,,,,,,35.0,,,,,,,,,769.7,,,
5919X,-5.259446,2026-04-10T04:00:00+0000,0.0,530.0,2.5,1.5,30.0,36.931669,85.0,OLVERA-COOP.AGRÍCOLA,91.0,11.8,11.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,
5941X,-5.512225,2026-04-10T04:00:00+0000,0.0,295.0,2.2,0.8,113.0,36.729446,110.0,EL BOSQUE  SAN JOSÉ,92.0,11.3,11.3,11.7,,,,,,,,,,,,,,,,,,,,,,,,
5950X,-5.783332,2026-04-10T04:00:00+0000,0.0,105.0,1.0,0.3,320.0,36.663888,347.0,SAN JOSE DEL VALLE-PT GUADALCACÍN,94.0,12.4,12.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,
5960,-6.055857,2026-04-10T04:00:00+0000,0.0,27.0,1.5,0.1,30.0,36.750495,290.0,JEREZ DE LA FRONTERA/AEROPUERTO,97.0,9.5,10.0,11.0,1009.9,0.1,12.4,1013.3,9.6,,160.0,0.0,,,,,,,,,,,,,,,,
5972X,-6.205557,2026-04-10T04:00:00+0000,0.0,28.0,1.5,0.0,276.0,36.465556,224.0,SAN FERNANDO,93.0,13.2,13.7,14.5,1009.7,,,1013.1,12.6,,,,,,,14.0,,,,,,,,,,,,
5973,-6.257861,2026-04-10T04:00:00+0000,0.0,2.0,1.9,0.5,290.0,36.499722,288.0,CÁDIZ  OBSERVATORIO,92.0,14.8,14.9,15.2,1012.6,0.2,,1013.3,13.7,,14.0,,,,,,,,,,,,,,,,,
5983X,-5.920278,2026-04-10T04:00:00+0000,0.0,70.0,1.9,0.3,221.0,36.406111,135.0,MEDINA SIDONIA (EL HUNDIDO - AUTOMATICA),96.0,10.4,10.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,
5995B,-5.965005,2026-04-10T04:00:00+0000,0.0,186.0,,,,36.245557,,VEJER DE LA FRONTERA,88.0,13.1,13.3,13.6,990.4,,,1012.5,11.3,,,,,,,0.0,,,,,,,,,,,,
5996B,-5.909444,2026-04-10T04:00:00+0000,0.0,4.0,3.0,1.5,13.0,36.184722,25.0,BARBATE  DEPURADORA,97.0,12.0,12.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,
5998X,-5.112503,2026-04-10T04:00:00+0000,0.0,255.0,3.2,2.1,123.0,37.243336,115.0,OSUNA  SEA,82.0,14.0,14.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,
6000A,-2.95638,2026-04-10T04:00:00+0000,0.0,52.0,5.3,3.1,245.0,35.276325,233.0,MELILLA,80.0,15.5,15.6,15.6,1006.2,0.8,14.7,1012.9,12.1,,15.0,0.0,17.7,,,,,,0.0,,,,,18.9,,,,
6001,-5.59883,2026-04-10T04:00:00+0000,0.0,32.0,1.8,1.0,332.0,36.013985,325.0,TARIFA,96.0,12.4,12.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,
6032X,-5.168615,2026-04-10T04:00:00+0000,0.0,760.0,2.1,0.7,231.0,36.749997,252.0,RONDA  IES,94.0,10.6,10.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,
6040X,-5.386393,2026-04-10T04:00:00+0000,0.0,315.0,0.7,0.3,341.0,36.544447,345.0,CORTES DE LA FRONTERA,95.0,10.2,10.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,
6042I,-5.394945,2026-04-10T04:00:00+0000,0.0,42.0,2.5,1.3,80.0,36.435607,87.0,JIMENA DE LA FRONTERA-EL DORADO,97.0,9.7,9.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,
6045X,-5.20306,2026-04-10T04:00:00+0000,0.0,676.0,1.7,0.7,91.0,36.632501,82.0,ALPANDEIRE,82.0,10.8,10.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,
6050X,-5.318613,2026-04-10T04:00:00+0000,0.0,594.0,4.0,3.1,27.0,36.51861,355.0,GAUCÍN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056X,-5.284446,2026-04-10T04:00:00+0000,0.0,1.0,5.6,3.3,328.0,36.273056,327.0,SAN ROQUE  SOTOGRANDE,95.0,12.6,12.6,12.9,,,,,,,,,,,,,,,,,,,,,,,,
6057X,-5.26,2026-04-10T04:00:00+0000,0.0,140.0,4.0,2.2,338.0,36.378333,315.0,MANILVA,82.0,13.2,13.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,
6058I,-5.154988,2026-04-10T04:00:00+0000,0.0,19.0,1.3,0.4,311.0,36.416954,39.0,ESTEPONA,74.0,14.1,14.1,15.1,1011.4,0.2,12.1,1013.7,9.6,8.6,68.0,0.0,16.4,,,,,,0.0,,,,,,,,,
6069X,-5.024724,2026-04-10T04:00:00+0000,0.0,392.0,1.3,0.2,82.0,36.543613,345.0,BENAHAVIS (LA ZAGALETA - AUTOMATICA),84.0,12.4,12.4,12.7,,,,,,,,,,,,,,,,,,,,,,,,
6076X,-4.953051,2026-04-10T04:00:00+0000,0.0,2.0,4.7,3.6,339.0,36.484445,312.0,MARBELLA (PUERTO BANUS - AUTOMATICA),75.0,15.1,15.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,
6083X,-4.740278,2026-04-10T04:00:00+0000,0.0,2.0,3.7,2.2,328.0,36.483333,335.0,MARBELLA  CABOPINO,68.0,16.8,16.9,17.2,,,,,,,,,,,,,,,,,,,,,,,,
6088X,-4.514998,2026-04-10T04:00:00+0000,0.0,85.0,1.4,0.2,305.0,36.620554,252.0,TORREMOLINOS,79.0,14.6,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
6100B,-4.562222,2026-04-10T04:00:00+0000,0.0,515.0,,,,37.023611,,ANTEQUERA,96.0,12.4,12.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,
6106X,-4.748339,2026-04-10T04:00:00+0000,0.0,408.0,1.9,0.1,36.0,37.029446,26.0,ANTEQUERA-BOBADILLA,89.0,11.9,12.4,12.5,965.1,,,1012.9,10.6,,,,,,,9.0,,,,,,,,,,,,
6127X,-4.69667,2026-04-10T04:00:00+0000,0.0,172.0,5.8,2.7,339.0,36.854723,340.0,ÁLORA  LAS PELONAS,87.0,14.5,14.7,14.7,,,,,,,,,,,,,,,,,,,,,,,,
6143X,-4.760827,2026-04-10T04:00:00+0000,0.0,230.0,,,,36.65778,,COIN (AUTOMATICA),86.0,12.9,13.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,
6155A,-4.482307,2026-04-10T04:00:00+0000,0.0,6.54,5.7,2.5,290.0,36.666118,300.0,MÁLAGA/AEROPUERTO,91.0,13.6,14.4,14.6,1011.8,0.4,13.9,1012.6,13.0,,8.0,0.0,,,,,,,,,,,,,,,,
6156X,-4.48167,2026-04-10T04:00:00+0000,0.0,54.0,4.7,1.6,265.0,36.717784,232.0,MÁLAGA  CENTRO METEOROLÓGICO,87.0,14.3,14.4,15.0,1005.8,0.4,,1012.4,12.2,,39.0,,,,,,,,,,,,,,,,,
6172O,-4.41972,2026-04-10T04:00:00+0000,0.0,25.0,4.2,0.3,194.0,36.716664,202.0,MÁLAGA PUERTO,68.0,16.0,16.3,16.3,1008.8,,,1011.8,10.4,,,,,,,48.0,,,,,,,,,,,,
6175X,-4.286128,2026-04-10T04:00:00+0000,0.0,7.0,,,,36.715046,,RINCON DE LA VICTORIA (AUTOMATICA),81.0,16.1,16.1,16.5,,,,,,,,,,,,,,,,,,,,,,,,
6199X,-4.093611,2026-04-10T04:00:00+0000,0.0,41.0,3.8,2.5,347.0,36.768611,357.0,VELEZ MALAGA (AUTOMATICA),84.0,15.2,15.2,15.4,,,,,,,,,,,,,,,,,,,,,,,,
6201X,-4.043892,2026-04-10T04:00:00+0000,0.0,35.0,2.1,1.1,12.0,36.755836,12.0,ALGARROBO (LA MAYORA - AUTOMATICA),88.0,14.8,14.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,
6205X,-3.95722,2026-04-10T04:00:00+0000,0.0,3.0,1.9,0.8,329.0,36.726384,330.0,TORROX FARO,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,
6213X,-3.845275,2026-04-10T04:00:00+0000,0.0,169.0,2.8,0.7,291.0,36.762776,5.0,NERJA (CUEVAS DE NERJA - AUTOMATICA),68.0,17.3,17.3,17.6,,,,,,,,,,,,,,,,,,,,,,,,
6248D,-3.430278,2026-04-10T04:00:00+0000,,1732.11,17.7,8.2,79.0,36.952222,81.0,CAÑAR  PARQUE NACIONAL SIERRA NEVADA,38.0,14.1,14.3,14.6,827.1,2.0,,,,,14.0,,,,,,,,,,,,,,,,,
6258X,-3.4925,2026-04-10T04:00:00+0000,0.0,708.0,,,,36.923056,,LANJARÓN,31.0,19.5,19.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,
6267X,-3.578623,2026-04-10T04:00:00+0000,0.0,20.0,3.0,1.0,316.0,36.748335,65.0,SALOBREÑA,88.0,14.6,14.7,14.7,,,,,,,,,,,,,,,,,,,,,,,,
6268Y,-3.529267,2026-04-10T04:00:00+0000,0.0,3.0,2.0,0.9,164.0,36.724011,49.0,MOTRIL PUERTO NAÚTICO,79.0,16.2,16.5,16.9,1011.7,0.2,,1012.1,12.8,,77.0,,,,,,,,,,,,,,,,,
6272X,-3.380008,2026-04-10T04:00:00+0000,0.0,235.0,2.4,1.3,288.0,36.734297,252.0,CASTELL DEL FERRO,45.0,19.4,19.7,19.9,,,,,,,,,,,,,,,,,,,,,,,,
6277C,-3.030833,2026-04-10T04:00:00+0000,0.0,25.5,5.7,1.7,258.0,36.748056,236.0,ADRA FARO,78.0,17.3,18.0,18.8,1008.3,0.6,,1011.5,14.1,,29.0,,,,,,,,,,,,,,,,,
6281X,-3.071395,2026-04-10T04:00:00+0000,0.0,1020.0,,,,37.005384,,VÁLOR,36.0,17.6,17.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,
6291B,-2.81305,2026-04-10T04:00:00+0000,0.0,98.0,,,,36.774719,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),37.0,26.5,26.5,28.6,,,,,,,,,,,,,,,,,,,,,,,,
