idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1010X,-1.675786,2026-04-10T00:00:00+0000,0.0,54.0,1.2,0.3,113.0,43.278691,127.0,BERA,92.0,10.5,10.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,
1012P,-1.796536,2026-04-10T00:00:00+0000,0.0,120.0,3.1,1.0,249.0,43.326407,227.0,IRUN,91.0,13.5,13.5,13.6,,,,,,,,,,,,,,,,,,,,,,,,
1014A,-1.792116,2026-04-10T00:00:00+0000,0.0,4.0,5.7,2.9,260.0,43.357075,260.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,82.0,14.6,14.7,14.7,1022.5,0.6,14.5,1023.5,11.7,,15.0,,,,,,,,,,,,,,,,,
1021X,-1.878823,2026-04-10T00:00:00+0000,0.0,165.0,1.5,0.9,223.0,43.213834,217.0,ERRENTERIA  AÑARBE,94.0,11.1,11.2,11.3,,,,,,,,,,,,,,,,,,,,,,,,
1025A,-2.256663,2026-04-10T00:00:00+0000,0.0,255.0,0.1,0.0,256.0,43.015553,257.0,SEGURA,91.0,9.9,9.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1025X,-2.232037,2026-04-10T00:00:00+0000,0.0,255.0,1.1,0.5,336.0,43.054634,322.0,BEASAIN  ARRIARAN,89.0,10.4,10.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1026X,-2.184273,2026-04-10T00:00:00+0000,0.0,290.0,1.2,0.4,314.0,43.058158,310.0,ORDIZIA,92.0,10.6,10.6,11.4,,,,,,,,,,,,,,,,,,,,,,,,
1033X,-1.950836,2026-04-10T00:00:00+0000,0.0,520.0,0.6,0.0,24.0,43.084999,5.0,ARESO ,92.0,9.0,9.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,
1037X,-2.337095,2026-04-10T00:00:00+0000,0.0,460.0,,,,43.051797,,LEGAZPI,82.0,9.7,9.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1037Y,-2.3175,2026-04-10T00:00:00+0000,0.0,420.0,3.5,1.7,258.0,43.079917,245.0,ZUMARRAGA,81.0,10.5,10.5,11.3,972.0,0.3,,1022.0,7.4,,11.0,,,,,,,,,,,,,,,,,
1038X,-2.267175,2026-04-10T00:00:00+0000,0.0,180.0,2.0,0.3,113.0,43.172576,217.0,AZPEITIA,94.0,10.2,10.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,
1041A,-2.251035,2026-04-10T00:00:00+0000,0.0,28.0,2.7,2.1,129.0,43.302139,137.0,ZUMAIA,91.0,12.4,12.4,13.4,1019.7,,,1023.1,11.0,,,,,,,71.0,,,,,,,,,,,,
1044X,-2.589645,2026-04-10T00:00:00+0000,0.0,617.0,,,,43.057835,,ARAMAIO  ETXAGUEN,89.0,9.1,9.1,9.3,,,,,,,,,,,,,,,,,,,,,,,,
1048X,-2.465715,2026-04-10T00:00:00+0000,0.0,308.0,,,,43.02505,,ARETXABALETA,87.0,9.4,9.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1049N,-2.495827,2026-04-10T00:00:00+0000,0.0,470.0,1.2,0.6,268.0,43.138333,205.0,ELGETA,91.0,8.8,8.8,9.7,,,,,,,,,,,,,,,,,,,,,,,,
1052A,-2.397148,2026-04-10T00:00:00+0000,0.0,150.0,4.1,2.6,249.0,43.31722,267.0,MUTRIKU,89.0,11.9,11.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,
1056K,-2.671184,2026-04-10T00:00:00+0000,0.0,45.0,5.0,0.6,293.0,43.342388,175.0,FORUA,93.0,12.0,12.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,
1057B,-2.752762,2026-04-10T00:00:00+0000,0.0,93.0,13.2,8.3,264.0,43.453906,267.0,MATXITXAKO,92.0,13.4,13.4,13.5,,,,,,,,,,,,,,,,,,,,,,,,
1059X,-3.021602,2026-04-10T00:00:00+0000,0.0,81.0,5.8,2.6,308.0,43.375086,305.0,PUNTA GALEA ,90.0,13.0,13.1,13.2,,0.6,,,,,17.0,,,,,,,,,,,,,,,,,
1060X,-3.005452,2026-04-10T00:00:00+0000,0.0,240.0,2.4,1.1,252.0,43.050241,230.0,AMURRIO,90.0,9.9,9.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1064L,-2.860274,2026-04-10T00:00:00+0000,0.0,270.0,2.0,0.2,105.0,43.096333,132.0,OROZKO  IBARRA,94.0,9.0,9.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1069Y,-2.644187,2026-04-10T00:00:00+0000,0.0,747.0,,,,43.099233,,ABADIÑO  URKIOLA,81.0,8.2,8.2,8.9,,,,,,,,,,,,,,,,,,,,,,,,
